CENTRAL POLLUTION CONTROL BOARD,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,
"Date: Sunday, Aug 01 2021",,,,,,,,
Time: 12:08:57 PM,,,,,,,,
State,Uttar Pradesh,,,,,,,
City,Varanasi,,,,,,,
Station,"Ardhali Bazar, Varanasi - UPPCB",,,,,,,
Parameter,PM2.5,,,,,,,
AvgPeriod,24 Hours,,,,,,,
From,01-01-2017T00:00:00Z 00:00,,,,,,,
To,31-07-2021T23:59:59Z 00:00,,,,,,,
,,,,,,,,
"Ardhali Bazar, Varanasi - UPPCB",,,,,,,,
Prescribed Standards, ,0-60,,,,,,
Exceeding Standards, ,,,,,,,
Remarks,,,,,,,,
From Date,To Date,PM2.5,,,,,,
22-05-2017 00:00,23-05-2017 00:00,205.91,,,,,,
23-05-2017 00:00,24-05-2017 00:00,68.58,,,,,,
24-05-2017 00:00,25-05-2017 00:00,163.39,,,,,,
25-05-2017 00:00,26-05-2017 00:00,126.64,,,,,,
26-05-2017 00:00,27-05-2017 00:00,92.01,,,,,,
27-05-2017 00:00,28-05-2017 00:00,203.32,,,,,,
28-05-2017 00:00,29-05-2017 00:00,104.51,,,,,,
29-05-2017 00:00,30-05-2017 00:00,42.02,,,,,,
30-05-2017 00:00,31-05-2017 00:00,67.55,,,,,,
31-05-2017 00:00,01-06-2017 00:00,68.51,,,,,,
01-06-2017 00:00,02-06-2017 00:00,20.51,,,,,,
02-06-2017 00:00,03-06-2017 00:00,None,,,,,,
03-06-2017 00:00,04-06-2017 00:00,None,,,,,,
04-06-2017 00:00,05-06-2017 00:00,None,,,,,,
05-06-2017 00:00,06-06-2017 00:00,None,,,,,,
06-06-2017 00:00,07-06-2017 00:00,None,,,,,,
07-06-2017 00:00,08-06-2017 00:00,None,,,,,,
08-06-2017 00:00,09-06-2017 00:00,None,,,,,,
09-06-2017 00:00,10-06-2017 00:00,None,,,,,,
10-06-2017 00:00,11-06-2017 00:00,None,,,,,,
11-06-2017 00:00,12-06-2017 00:00,None,,,,,,
12-06-2017 00:00,13-06-2017 00:00,None,,,,,,
13-06-2017 00:00,14-06-2017 00:00,None,,,,,,
14-06-2017 00:00,15-06-2017 00:00,None,,,,,,
15-06-2017 00:00,16-06-2017 00:00,None,,,,,,
16-06-2017 00:00,17-06-2017 00:00,None,,,,,,
17-06-2017 00:00,18-06-2017 00:00,None,,,,,,
18-06-2017 00:00,19-06-2017 00:00,None,,,,,,
19-06-2017 00:00,20-06-2017 00:00,None,,,,,,
20-06-2017 00:00,21-06-2017 00:00,None,,,,,,
21-06-2017 00:00,22-06-2017 00:00,None,,,,,,
22-06-2017 00:00,23-06-2017 00:00,None,,,,,,
23-06-2017 00:00,24-06-2017 00:00,None,,,,,,
24-06-2017 00:00,25-06-2017 00:00,None,,,,,,
25-06-2017 00:00,26-06-2017 00:00,None,,,,,,
26-06-2017 00:00,27-06-2017 00:00,None,,,,,,
27-06-2017 00:00,28-06-2017 00:00,None,,,,,,
28-06-2017 00:00,29-06-2017 00:00,None,,,,,,
29-06-2017 00:00,30-06-2017 00:00,None,,,,,,
30-06-2017 00:00,01-07-2017 00:00,None,,,,,,
01-07-2017 00:00,02-07-2017 00:00,None,,,,,,
02-07-2017 00:00,03-07-2017 00:00,None,,,,,,
03-07-2017 00:00,04-07-2017 00:00,None,,,,,,
04-07-2017 00:00,05-07-2017 00:00,26.9,,,,,,
05-07-2017 00:00,06-07-2017 00:00,10.82,,,,,,
06-07-2017 00:00,07-07-2017 00:00,None,,,,,,
07-07-2017 00:00,08-07-2017 00:00,None,,,,,,
08-07-2017 00:00,09-07-2017 00:00,None,,,,,,
09-07-2017 00:00,10-07-2017 00:00,None,,,,,,
10-07-2017 00:00,11-07-2017 00:00,None,,,,,,
11-07-2017 00:00,12-07-2017 00:00,None,,,,,,
12-07-2017 00:00,13-07-2017 00:00,None,,,,,,
13-07-2017 00:00,14-07-2017 00:00,None,,,,,,
14-07-2017 00:00,15-07-2017 00:00,None,,,,,,
15-07-2017 00:00,16-07-2017 00:00,None,,,,,,
16-07-2017 00:00,17-07-2017 00:00,None,,,,,,
17-07-2017 00:00,18-07-2017 00:00,None,,,,,,
18-07-2017 00:00,19-07-2017 00:00,None,,,,,,
19-07-2017 00:00,20-07-2017 00:00,None,,,,,,
20-07-2017 00:00,21-07-2017 00:00,None,,,,,,
21-07-2017 00:00,22-07-2017 00:00,None,,,,,,
22-07-2017 00:00,23-07-2017 00:00,None,,,,,,
23-07-2017 00:00,24-07-2017 00:00,None,,,,,,
24-07-2017 00:00,25-07-2017 00:00,None,,,,,,
25-07-2017 00:00,26-07-2017 00:00,None,,,,,,
26-07-2017 00:00,27-07-2017 00:00,None,,,,,,
27-07-2017 00:00,28-07-2017 00:00,None,,,,,,
28-07-2017 00:00,29-07-2017 00:00,None,,,,,,
29-07-2017 00:00,30-07-2017 00:00,None,,,,,,
30-07-2017 00:00,31-07-2017 00:00,None,,,,,,
31-07-2017 00:00,01-08-2017 00:00,None,,,,,,
01-08-2017 00:00,02-08-2017 00:00,None,,,,,,
02-08-2017 00:00,03-08-2017 00:00,None,,,,,,
03-08-2017 00:00,04-08-2017 00:00,None,,,,,,
04-08-2017 00:00,05-08-2017 00:00,None,,,,,,
05-08-2017 00:00,06-08-2017 00:00,None,,,,,,
06-08-2017 00:00,07-08-2017 00:00,None,,,,,,
07-08-2017 00:00,08-08-2017 00:00,None,,,,,,
08-08-2017 00:00,09-08-2017 00:00,None,,,,,,
09-08-2017 00:00,10-08-2017 00:00,None,,,,,,
10-08-2017 00:00,11-08-2017 00:00,None,,,,,,
11-08-2017 00:00,12-08-2017 00:00,None,,,,,,
12-08-2017 00:00,13-08-2017 00:00,None,,,,,,
13-08-2017 00:00,14-08-2017 00:00,None,,,,,,
14-08-2017 00:00,15-08-2017 00:00,None,,,,,,
15-08-2017 00:00,16-08-2017 00:00,None,,,,,,
16-08-2017 00:00,17-08-2017 00:00,None,,,,,,
17-08-2017 00:00,18-08-2017 00:00,None,,,,,,
18-08-2017 00:00,19-08-2017 00:00,None,,,,,,
19-08-2017 00:00,20-08-2017 00:00,None,,,,,,
20-08-2017 00:00,21-08-2017 00:00,None,,,,,,
21-08-2017 00:00,22-08-2017 00:00,None,,,,,,
22-08-2017 00:00,23-08-2017 00:00,None,,,,,,
23-08-2017 00:00,24-08-2017 00:00,None,,,,,,
24-08-2017 00:00,25-08-2017 00:00,None,,,,,,
25-08-2017 00:00,26-08-2017 00:00,None,,,,,,
26-08-2017 00:00,27-08-2017 00:00,None,,,,,,
27-08-2017 00:00,28-08-2017 00:00,None,,,,,,
28-08-2017 00:00,29-08-2017 00:00,None,,,,,,
29-08-2017 00:00,30-08-2017 00:00,None,,,,,,
30-08-2017 00:00,31-08-2017 00:00,None,,,,,,
31-08-2017 00:00,01-09-2017 00:00,None,,,,,,
01-09-2017 00:00,02-09-2017 00:00,None,,,,,,
02-09-2017 00:00,03-09-2017 00:00,None,,,,,,
03-09-2017 00:00,04-09-2017 00:00,None,,,,,,
04-09-2017 00:00,05-09-2017 00:00,None,,,,,,
05-09-2017 00:00,06-09-2017 00:00,None,,,,,,
06-09-2017 00:00,07-09-2017 00:00,None,,,,,,
07-09-2017 00:00,08-09-2017 00:00,None,,,,,,
08-09-2017 00:00,09-09-2017 00:00,None,,,,,,
09-09-2017 00:00,10-09-2017 00:00,None,,,,,,
10-09-2017 00:00,11-09-2017 00:00,None,,,,,,
11-09-2017 00:00,12-09-2017 00:00,None,,,,,,
12-09-2017 00:00,13-09-2017 00:00,None,,,,,,
13-09-2017 00:00,14-09-2017 00:00,None,,,,,,
14-09-2017 00:00,15-09-2017 00:00,None,,,,,,
15-09-2017 00:00,16-09-2017 00:00,None,,,,,,
16-09-2017 00:00,17-09-2017 00:00,None,,,,,,
17-09-2017 00:00,18-09-2017 00:00,None,,,,,,
18-09-2017 00:00,19-09-2017 00:00,None,,,,,,
